5831node_name,node_index,node_desc,node_lon,node_lat,new_node_index
TGSK-A,7118,,113.864,22.6404,nan
TGSK-B,7216,,113.882,22.6434,nan
TGSK-C,6430,,113.895,22.6182,nan
TGSK-D,6759,,113.906,22.6293,nan
TGSK-E,6105,,113.907,22.6082,nan
TGSK-F,5934,,113.883,22.6021,5832
GLHU-GL,9368,GLHU-GuanLanHe,114.04,22.7109,8602
GLHU-MZ,7799,GLHU-MingZhi,114.059,22.6615,7222
GLHU-LH,7792,Longhua,114.012,22.6615,7215
GLHU-DL,8819,DaLang,114.028,22.6938,8106
SK-GF,7347,Gaofeng,113.997,22.6474,6849
SK-ML,5249,Meilin,114.032,22.5739,5247
SK-ZK,5021,ZhenKeng,114.217,22.5608,5021
SK-GJ,10217,GuanJing,114.194,22.735,9451
SK-CY,7812,ChiYou,114.368,22.6615,7235
SK-FT,11612,SK-FT,114.5,22.7663,10846
SK-DJ,12471,DaJian,114.592,22.7844,11705
SK-SZd,5168,ShenZhen downstream point,114.148,22.5688,5168
SK-SZu,6023,ShenZhen upstream point,114.17,22.6051,nan
SK-YT,9367,YanTian,113.904,22.7109,8626
HD-MZH,12648,maozhouhe,113.8,22.7884,11882
HD-GLH,9368,guanlanhe,114.04,22.7109,8602
HD-PSH,8776,pingshan he ,114.338,22.6918,8072
HD-LGH,10774,longgang he,114.29,22.7481,10008
JD-MLL,5129,meilinlu,114.041,22.5668,5129
JD-JHL,5539,jinhualu,113.884,22.589,5511
JD-HTP,6797,huangtian paichusuo,113.845,22.6303,6430
JD-SLQ,10345, shuanglongqiao,114.273,22.7381,9579
