node_lon,node_lat,new_node_index
113.864,22.6404,nan
113.882,22.6434,nan
113.895,22.6182,nan
113.906,22.6293,nan
113.907,22.6082,nan
113.883,22.6021,5832
114.04,22.7109,8602
114.059,22.6615,7222
114.012,22.6615,7215
114.028,22.6938,8106
113.997,22.6474,6849
114.032,22.5739,5247
114.217,22.5608,5021
114.194,22.735,9451
114.368,22.6615,7235
114.5,22.7663,10846
114.592,22.7844,11705
114.148,22.5688,5168
114.17,22.6051,nan
113.904,22.7109,8626
113.8,22.7884,11882
114.04,22.7109,8602
114.338,22.6918,8072
114.29,22.7481,10008
114.041,22.5668,5129
113.884,22.589,5511
113.845,22.6303,6430
114.273,22.7381,9579
